num_procs,n,theta,elapsed_avg,energy_avg,work_pct_avg,overhead_pct_avg,forces_total_pct,forces_avg_imbal_avg,forces_max_imbal_avg,forces_oh_pct_avg,treebuild_total_pct,treebuild_oh_pct_avg,datasort_total_pct,datasort_oh_pct_avg
1,10000,0.5,2.75366,-0.249978,99.362,0.638,96.9994,0,0,0.01,2.91644,20.975,0,0
2,10000,0.5,1.5975,-0.249978,94.906,5.094,93.7941,0.007275,0.0118105,3.171,6.08902,34.114,0,0
4,10000,0.5,1.04348,-0.249978,87.858,12.142,91.7576,0.0124257,0.0145849,7.481,7.77742,59.925,0,0
8,10000,0.5,0.821901,-0.249978,73.233,26.767,90.5301,0.0214713,0.0247637,21.819,8.8188,73.769,0,0
16,10000,0.5,0.574273,-0.249978,72.539,27.461,81.7524,0.0102903,0.0147386,14.792,16.8752,83.137,0,0
1,20000,0.5,7.54264,-0.249936,99.511,0.489,97.6679,0,0,0,2.26762,21.059,0,0
2,20000,0.5,4.3446,-0.249936,96.811,3.189,94.7761,0.0090108,0.0249806,1.546,5.13884,33.258,0,0
4,20000,0.5,2.80836,-0.249936,90.206,9.794,92.4554,0.0207752,0.0349351,5.626,7.17776,59.324,0,0
8,20000,0.5,2.37607,-0.249936,73.944,26.056,92.1489,0.0515758,0.0618343,22.064,7.38028,72.938,0,0
16,20000,0.5,1.783,-0.249936,75.188,24.812,84.4756,0.029213,0.0438982,14.33,14.5556,81.561,0,0
