num_procs,n,theta,elapsed_avg,energy_avg,work_pct_avg,overhead_pct_avg,forces_total_pct,forces_avg_imbal_avg,forces_max_imbal_avg,forces_oh_pct_avg,treebuild_total_pct,treebuild_oh_pct_avg,datasort_total_pct,datasort_oh_pct_avg
1,10000,0.5,2.89471,-0.249978,99.4,0.6,97.1376,0,0,0.00777514,2.79068,20.839,0,0
2,10000,0.5,1.62057,-0.249978,97.32,2.68,93.9049,0.001656,0.002949,0.720763,5.99323,32.8476,0,0
4,10000,0.5,0.919451,-0.249978,93.15,6.85,90.1775,0.00088,0.001385,0.969677,9.25933,60.8243,0.34088,59.7826
8,10000,0.5,0.796202,-0.249978,73.76,26.24,89.7074,0.018835,0.022781,20.6564,9.56906,74.6859,0.417328,78.8043
16,10000,0.5,0.567125,-0.249978,73.59,26.41,81.9892,0.010336,0.01506,13.932,16.6016,82.6386,0.690122,89.0756
1,20000,0.5,7.61126,-0.249936,99.5,0.5,97.6525,0,0,0.00461695,2.28284,21.3298,0,0
2,20000,0.5,4.38677,-0.249936,96.98,3.02,95.0351,0.008522,0.019439,1.447,4.88606,33.3134,0,0
4,20000,0.5,2.76061,-0.249936,90.78,9.22,92.4083,0.015452,0.019246,5.07363,7.22965,60.0729,0.252455,51.6484
8,20000,0.5,2.42987,-0.249936,72.81,27.19,92.6398,0.056947,0.072572,23.5012,6.90969,73.6275,0.30992,76.2295
16,20000,0.5,1.78064,-0.249936,74.1,25.9,84.1452,0.029511,0.045431,15.2286,14.704,82.2466,0.7652,89.2996
