algChoice,num_procs,n,theta,elapsed_avg,energy_avg
1,20,20000,0.5,0.58891,-0.249936
2,20,20000,0.5,0.668207,-0.249936
3,20,20000,0.5,1.06365,-0.249936
4,20,20000,0.5,0.8628,-0.249936
5,20,20000,0.5,0.880925,-0.249936
6,20,20000,0.5,2.98299,-0.249936
7,20,20000,0.5,2.10127,-0.249936
1,40,20000,0.5,0.59105,-0.249936
2,40,20000,0.5,0.680269,-0.249936
3,40,20000,0.5,0.650346,-0.249936
4,40,20000,0.5,0.627652,-0.249936
5,40,20000,0.5,0.757468,-0.249936
6,40,20000,0.5,3.08342,-0.249936
7,40,20000,0.5,2.31522,-0.249936
1,20,40000,0.5,2.26842,-0.24995
2,20,40000,0.5,2.22757,-0.24995
3,20,40000,0.5,1.50174,-0.24995
4,20,40000,0.5,2.05812,-0.24995
5,20,40000,0.5,1.3824,-0.24995
6,20,40000,0.5,4.37258,-0.24995
7,20,40000,0.5,3.34434,-0.24995
1,40,40000,0.5,1.24095,-0.24995
2,40,40000,0.5,1.13149,-0.24995
3,40,40000,0.5,1.65135,-0.24995
4,40,40000,0.5,1.45318,-0.24995
5,40,40000,0.5,1.59718,-0.24995
6,40,40000,0.5,4.48473,-0.24995
7,40,40000,0.5,3.31504,-0.24995
1,20,80000,0.5,3.7941,-0.249959
2,20,80000,0.5,3.93096,-0.249959
3,20,80000,0.5,3.65878,-0.249959
4,20,80000,0.5,3.43499,-0.249959
5,20,80000,0.5,5.07213,-0.249959
6,20,80000,0.5,7.43706,-0.249959
7,20,80000,0.5,6.04666,-0.249959
1,40,80000,0.5,2.80278,-0.249959
2,40,80000,0.5,3.80751,-0.249959
3,40,80000,0.5,2.58818,-0.249959
4,40,80000,0.5,2.67863,-0.249959
5,40,80000,0.5,2.65924,-0.249959
6,40,80000,0.5,6.71034,-0.249959
7,40,80000,0.5,5.31034,-0.249959
1,20,160000,0.5,8.92125,-0.249936
2,20,160000,0.5,9.07394,-0.249936
3,20,160000,0.5,7.84521,-0.249936
4,20,160000,0.5,8.12103,-0.249936
5,20,160000,0.5,7.65304,-0.249936
6,20,160000,0.5,14.2311,-0.249936
7,20,160000,0.5,11.8843,-0.249936
1,40,160000,0.5,5.67261,-0.249936
2,40,160000,0.5,6.30454,-0.249936
3,40,160000,0.5,6.02169,-0.249936
4,40,160000,0.5,6.60919,-0.249936
5,40,160000,0.5,5.3294,-0.249936
6,40,160000,0.5,10.9541,-0.249936
7,40,160000,0.5,8.49681,-0.249936
1,20,320000,0.5,20.5283,-0.24996
2,20,320000,0.5,20.1494,-0.24996
3,20,320000,0.5,18.2913,-0.24996
4,20,320000,0.5,19.2982,-0.24996
5,20,320000,0.5,17.4653,-0.24996
6,20,320000,0.5,29.6242,-0.24996
7,20,320000,0.5,25.4309,-0.24996
1,40,320000,0.5,13.5038,-0.24996
2,40,320000,0.5,14.2518,-0.24996
3,40,320000,0.5,13.5229,-0.24996
4,40,320000,0.5,14.2914,-0.24996
5,40,320000,0.5,11.9056,-0.24996
6,40,320000,0.5,18.1992,-0.24996
7,40,320000,0.5,14.7412,-0.24996
