num_procs,n,theta,elapsed_avg,energy_avg,work_pct_avg,overhead_pct_avg,forces_total_pct,forces_avg_imbal_avg,forces_max_imbal_avg,forces_oh_pct_avg,treebuild_total_pct,treebuild_oh_pct_avg,datasort_total_pct,datasort_oh_pct_avg
1,10000,0.5,2.83854,-0.249978,99.39,0.61,97.0905,0,0,0.0079277,2.82482,20.7084,0,0
2,10000,0.5,1.51595,-0.249978,97.29,2.71,93.1002,0.000934,0.002807,0.450564,6.77042,33.2368,0,0
4,10000,0.5,0.906463,-0.249978,92.89,7.11,89.7492,0.00098,0.001443,1.07208,9.68177,60.1701,0,0
8,10000,0.5,0.783859,-0.249978,73.63,26.37,89.9263,0.018701,0.021652,21.0194,9.38459,74.0424,0,0
16,10000,0.5,0.567262,-0.249978,75.12,24.88,82.0137,0.010182,0.014017,11.9374,16.6816,83.4551,0,0
1,20000,0.5,7.52448,-0.249936,99.5,0.5,97.6437,0,0,0.00466461,2.2895,21.4854,0,0
2,20000,0.5,4.2014,-0.249936,95.99,4.01,94.3975,0.01372,0.035515,2.45549,5.51828,30.372,0,0
4,20000,0.5,2.61887,-0.249936,92.11,7.89,90.8496,0.005906,0.0093,2.71484,8.73637,59.7928,0,0
8,20000,0.5,2.3693,-0.249936,73.83,26.17,92.3114,0.053086,0.062912,22.2566,7.2207,73.2354,0,0
16,20000,0.5,1.75132,-0.249936,76.49,23.51,85.1445,0.028249,0.04027,13.2587,13.9905,82.0031,0,0
1,40000,0.5,19.4681,-0.24995,99.58,0.42,98.1284,0,0,0.00193966,1.81454,22.6224,0,0
2,40000,0.5,11.8129,-0.24995,96.34,3.66,95.8926,0.033556,0.072336,2.37813,4.04077,33.9899,0,0
4,40000,0.5,7.90247,-0.24995,91.88,8.12,91.9378,0.021268,0.049592,3.69766,7.64988,59.3327,0,0
8,40000,0.5,7.19604,-0.24995,74.28,25.72,93.5654,0.131693,0.149492,22.4645,6.02995,73.4321,0,0
16,40000,0.5,5.76297,-0.24995,70.55,29.45,86.4938,0.07659,0.115041,21.2516,12.7271,81.9235,0,0
1,80000,0.5,52.0323,-0.249959,99.62,0.38,98.3154,0,0,0.00136355,1.65213,22.6712,0,0
2,80000,0.5,33.9462,-0.249959,98.11,1.89,96.1533,0.024686,0.079526,0.737374,3.80839,30.9213,0,0
4,80000,0.5,24.4637,-0.249959,95.16,4.84,94.2301,0.025411,0.044139,1.41414,5.47976,61.5759,0,0
